X,Y,Z
-13.858603508697742,-15.256109744868942,-32.22475134137556
-14.009874445796644,-15.294112936661337,-32.30502366676968
-14.06050117264339,-15.306861387392944,-32.33195160984848
-14.11123006991181,-15.319650324517518,-32.35896507039982
-14.212995896483275,-15.345349965159139,-32.41324919283264
-14.315174980265265,-15.371212478809426,-32.467877344136
-14.366420454053312,-15.38420500938134,-32.49532084539398
-14.41777039737246,-15.397238495020044,-32.5228508540818
-14.469225198124748,-15.410313015888958,-32.55046753952483
-14.520785245586259,-15.423428652744324,-32.57817107230061
-14.572450930415817,-15.43658548693643,-32.60596162424148
-11.474038065135723,-14.725638428871253,-31.02531731042691
-11.51979935516057,-14.736366707575534,-31.04792062590303
-11.565644382230886,-14.747132319090513,-31.070602597547676
-11.611573469382764,-14.757935312699384,-31.09336332919518
-11.657586940526656,-14.768775738159173,-31.11620292567818
-11.703685120454363,-14.779653645701984,-31.139121492830252
-11.749868334846646,-14.790569086036992,-31.162119137490105
-11.8889314551157,-14.823541118087297,-31.23158762007383
-11.935458082221883,-14.834607206294708,-31.254902663403087
-11.982071385798104,-14.845711088064318,-31.278297333654137
-12.028771697018541,-14.856852817007226,-31.301771743779728
-14.225905660713593,-15.398370412970207,-32.44269037525932
-14.328166494604364,-15.424310379437486,-32.49734306108727
-14.379452962369678,-15.437341872407774,-32.524798998321145
-14.430843979733853,-15.450414478302005,-32.552341556010695
-14.482339935191058,-15.463528277683677,-32.57997090389445
-14.533941218611242,-15.47668335171035,-32.607687212962546
-14.58564822125033,-15.489879782136468,-32.63549065546271
-11.714597271663413,-14.830980520214899,-31.168154639121322
-11.760818113738678,-14.841927012545614,-31.191159319442672
-11.807124368444875,-14.852911227820782,-31.21424327669143
-11.853516363746145,-14.863933218030878,-31.237406620128564
-11.89999442852025,-14.874993035650313,-31.260649460032045
-11.946558892565937,-14.886090733638945,-31.28397190770005
-11.993210086610835,-14.897226365444277,-31.30737407545557
-12.039948342319617,-14.908399985003914,-31.330856076651568
-12.086773992300364,-14.919611646745762,-31.3544180256714
-12.133687370113877,-14.930861405591841,-31.37806003793684
-12.180688810280502,-14.942149316959,-31.401782229909568
-12.22777864828772,-14.953475436760526,-31.42558471909455
-12.274957220599314,-14.964839821409656,-31.44946762404745
-12.322224864661735,-14.976242527819647,-31.47343106437472
-12.36958191891289,-14.987683613406725,-31.497475160739853
-12.464565616737039,-15.010681154302226,-31.54580580954446
-12.512192942213998,-15.022237726974254,-31.570092608630272
-12.559911041703135,-15.033832913553754,-31.594460557053285
-12.607720258718778,-15.04546677399975,-31.61890978082083
-12.655620937814668,-15.057139368785522,-31.643440407020954
-12.703613424592005,-15.068850758900425,-31.668052563826286
-12.799875208883421,-15.092390171668514,-31.717521987393383
-12.84814520291256,-15.104218318900184,-31.742379515963965
-12.896508397669356,-15.116085510621351,-31.76731909876453
-12.944965144117194,-15.127991810432816,-31.792340869455796
-12.993515794317025,-15.13993728246379,-31.81744496280898
-13.04216070143556,-15.151921991373664,-31.842631514709485
-13.090900219753491,-15.163946002353752,-31.867900662160597
-13.139734704674991,-15.176009381130472,-31.893252543290146
-13.188664512735116,-15.188112193966095,-31.918687297352083
-13.237690001609261,-15.200254507661798,-31.944205064732905
-13.28681153012128,-15.212436389559146,-31.969805986954775
-13.385344147148965,-15.236919130039889,-32.02125786771567
-13.434755959133405,-15.24922012602786,-32.04710911501828
-13.484265257711014,-15.26156096503109,-32.07304409469848
-13.533872407579576,-15.27394171712552,-32.099062954024866
-13.583577774637579,-15.286362452939727,-32.12516584142743
-13.934296417256697,-15.374433197811161,-32.310251553838285
-13.984800841300524,-15.387176413130103,-32.33703215038206
-14.03540683116409,-15.399960273082822,-32.36389816395062
-14.187837986278748,-15.438556486446572,-32.445010315973626
-14.238854036571993,-15.451503693532795,-32.4722196128949
-14.289973557839554,-15.464491932456504,-32.499515140571724
-14.34119693509296,-15.47752128240907,-32.52689706542931
-11.633278305802143,-14.860574868056933,-31.15148433808067
-11.67936696715384,-14.871476909945084,-31.174337746521946
-11.771799047582023,-14.893394322180452,-31.22028212821938
-11.818143120837675,-14.904409795706112,-31.243373317763385
-11.864572987081903,-14.915463183760107,-31.266543985648305
-11.95769141691144,-14.937683915132272,-31.313124200173426
-12.004380641999756,-14.948851365509132,-31.336533971235433
-12.05115698309788,-14.9600569445353,-31.36002366948951
-12.098020773307404,-14.971300706967913,-31.383593409720323
-12.144972346683414,-14.982582708058043,-31.407243307747947
-12.192012038243172,-14.993903003553713,-31.43097348043419
-12.239140183972832,-15.00526164970044,-31.45478404568373
-12.286357120836275,-15.016658703244337,-31.47867512245063
-12.33366318678263,-15.028094221433605,-31.502646830741437
-12.381058720754053,-15.039568262020262,-31.526699291618847
-12.57154235094289,-15.08585082113147,-31.62371911945728
-12.667329861026765,-15.10922477399578,-31.67271677486675
-12.715361246662717,-15.120970131166473,-31.69733798321142
-12.763484848578237,-15.132754491128686,-31.722040951169024
-12.811701015016444,-15.144577916258246,-31.746825809494904
-12.860010095295086,-15.156440469454925,-31.77169269004273
-12.908412439814324,-15.168342214143834,-31.796641725767408
-12.956908400065702,-15.180283214278159,-31.82167305073082
-13.005498328639693,-15.192263534340173,-31.84678680010395
-13.054182579235388,-15.204283239344745,-31.871983110174238
-13.102961506667583,-15.216342394839774,-31.897262118346482
-13.151835466876632,-15.228441066909784,-31.92262396315039
-13.200804816935666,-15.240579322176455,-31.94806878424167
-13.249869915060215,-15.252757227801876,-31.973596722408878
-13.299031120616888,-15.264974851490688,-31.999207919577888
-13.34828879413083,-15.277232261490777,-32.02490251881334
-13.397643297295934,-15.289529526597088,-32.05068066432667
-13.447094992982572,-15.301866716152583,-32.07654250147807
-13.496644245247008,-15.314243900051048,-32.10248817678242
-13.546291419339672,-15.326661148738602,-32.12851783791241
-13.596036881714683,-15.339118533216567,-32.15463163370459
-13.645881000038477,-15.351616125043286,-32.180829714163146
-13.6958241431983,-15.36415399633577,-32.20711223046339
-13.745866681312343,-15.376732219773132,-32.23347933495893
-13.796008985737394,-15.389350868597207,-32.259931181182985
-13.846251429079107,-15.402010016616085,-32.28646792385579
-13.896594385201016,-15.414709738206168,-32.31308971888889
-13.947038229232508,-15.427450108313053,-32.33979672338702
-13.99758333758003,-15.440231202455967,-32.366589095657375
-14.048230087934575,-15.453053096728034,-32.3934669952102
-14.098978859282001,-15.465915867799648,-32.42043058276582
-14.149830031912357,-15.4788195929207,-32.44748002025934
-14.200783987428414,-15.491764349921906,-32.47461547084343
-14.251841108756432,-15.504750217218536,-32.50183709889612
-14.303001780155045,-15.51777727381205,-32.529145070024235
-14.354266387224676,-15.530845599292276,-32.556539551067985
-12.109299760602083,-15.02310001549696,-31.4128523404134
-12.156289671419774,-15.034414328827571,-31.436510230836884
-12.203367756583855,-15.045767078769536,-31.460248491063915
-12.250534352580706,-15.057158321902604,-31.484067239401053
-12.297789796875668,-15.068588115307533,-31.50796659520246
-12.345134427921748,-15.080056516569028,-31.53194667887603
-12.392568585166362,-15.091563583776214,-31.55600761188437
-12.440092609060887,-15.10310937552652,-31.580149516752968
-12.487706841066979,-15.11469395092558,-31.604372517069926
-12.535411623665947,-15.126317369590826,-31.628676737493507
-12.583207300365725,-15.1379796916521,-31.65306230375342
-12.679072715285947,-15.16142128906181,-31.70207798209511
-12.727143145732112,-15.1732006872542,-31.726708351039917
-12.775305854746877,-15.185019234534462,-31.751420579555344
-12.823561191096932,-15.196876993628306,-31.776214798798968
-12.87190950462501,-15.2087740277861,-31.801091141025417
-12.920351146258955,-15.220710400785773,-31.826049739592424
-12.968886468019738,-15.232686176934426,-31.85109072896422
-13.01751582302938,-15.244701421069804,-31.876214244714586
-13.066239565520052,-15.256756198563119,-31.901420423532766
-13.115058050842864,-15.268850575321459,-31.92670940322851
-13.16397163547504,-15.28098461778828,-31.952081322733097
-13.212980677030187,-15.293158392947475,-31.977536322107845
-13.262085534265399,-15.305371968323731,-32.003074542544844
-13.311286567090715,-15.317625411985548,-32.02869612637329
-13.360584136577913,-15.32991879254749,-32.05440121706419
-13.409978604968748,-15.342252179171737,-32.080189959233586
-13.459470335684074,-15.354625641570625,-32.10606249864789
-13.509059693332437,-15.367039250008533,-32.132018982227805
-13.558747043718926,-15.37949307530404,-32.15805955805287
-13.608532753854119,-15.391987188832152,-32.18418437536608
-13.65841719196367,-15.404521662527207,-32.21039358457998
-13.70840072749599,-15.417096568883592,-32.23668733727817
-13.75848373113199,-15.42971198095876,-32.263065786221595
-13.80866657479472,-15.442367972376069,-32.28952908535449
-13.858949631657214,-15.455064617325604,-32.3160773898061
-13.909333276152907,-15.4678019905678,-32.342710855898254
-13.95981788398359,-15.480580167434317,-32.36942964114721
